"DELUXE EXECUTIVE KING BED","4957","4","Sitting over ten stories, all Deluxe Executive King Bed Rooms are equipped with gorgeous views of the bay and her golden coastline. Fitted with enough class and esteem, each room is a companion to comfortability and intimacy. Upscale room design with a perfect amount of space is trivial features compared to the handsome furnishings and fixtures adorning this charming space.
Service:
-Tourist Information / Ticket sale
-Laundry / Dry Cleaner
-Air conditioning
-Babysitter
-Gym
-Spa
-Sauna
-Access for disabled people
-Jaccuzzi
-Wifi"
"DELUXE EXECUTIVE TWIN BED","4957","4","Sitting over ten stories, all Deluxe Executive Twin Bed Rooms are equipped with gorgeous views of the bay and her golden coastline. Fitted with enough class and esteem, each room is a companion to comfortability and intimacy. Upscale room design with a perfect amount of space is trivial features compared to the handsome furnishings and fixtures adorning this charming space.
Service:
-Tourist Information / Ticket sale
-Laundry / Dry Cleaner
-Air conditioning
-Babysitter
-Gym
-Spa
-Sauna
-Access for disabled people
-Baby cots
-Wifi"
"DELUXE URBAN KING BED","4494","4","Complete with sweeping cityscape views enjoy a quiet and comfortable escape high above the hustle and bustle of the city. Stocked with all the luxury accommodations needed for an unforgettable retreat such as lavish furniture, gentle down bedding, inventive decorations and state of the art bathroom fixtures, this room calls to guests who want to get away in style.
Service:
-Wifi
-Tourist Information / Ticket sale
-Laundry service
-Gym
-Air conditioning
-Spa
-Sauna
-Baby cots
-Free Parking
-Free outdoor bus parking"
"DELUXE URBAN TWIN BED","4494","4","Complete with sweeping cityscape views, enjoy a quiet and comfortable escape high above the hustle and bustle of the city. Stocked with all the luxury accommodations needed for an unforgettable retreat such as lavish furniture, gentle down bedding, inventive decorations and state of the art bathroom fixtures, this room calls to guests who want to get away in style.
Service:
-Wifi
-Tourist Information / Ticket sale
-Laundry / Dry Cleaner
-Air conditioning
-Gym
-Spa
-Sauna
-Baby cots
-Free Parking
-Free outdoor parking"
"MARINA SUITE","15806","4","How can you describe a sight which takes your breath away...Masterfully conceived, this stately and palatial room is the pinnacle of luxury and class. Crowning the highest floor of Mytt Beach, this supreme suite in the sky offers commanding and unmatched views of the bay and all of Pattaya and beyond. Everything that defines 5 star accommodation can be found smartly fitted from wall to wall, floor to ceiling in this embodiment of perfection. The Marina suite sits upon the precipice of elegance and opulence for all of Pattaya to gaze at from below. Inside find seating and beds fit for kings, ample amenities and space to entertain, and marble bathrooms fixed with the finest fixtures you can find outside of a palace. This suite is a reflection of the ambition in class and grace Mytt Beach stands for.
- Complimentary Wi-Fi
- Personalized check - in and check – out
- Concierge service
- Open Daily 07:00 hrs. – 21:00 hrs.
- Breakfast at The living from 07:00 hrs. –11:00 hrs.
- Afternoon tea from 14:00 hrs. – 16:00 hrs.
- Happy hours from 17.30 hrs. – 19:30 hrs.
- All day refreshments: coffee, tea, soft drinks, cookies and snacks
- Two hours per stay complimentary usage of The Living Board Room (Upon availability)
- Complimentary late check out until 16:00 hrs. (Upon availability)
- Complimentary pressing service 2 items per day (Non - accumulative)
- Complimentary local call (Mobile phone excluded)
Service:
-Wifi
-Tourist Information / Ticket sale
-Laundry / Dry Cleaner
-Air conditioning
-Gym
-Spa
-Sauna
-Access for disabled people
-Baby cots
-Bath"
"OCEAN JUNIOR SUITE","8765","4","Generous spaces, and equally generous views of the sea adorn these opulently furnished suites. Picture perfect rooms, outfitted to inspire all those who enter, the Ocean Junior Suite will have guests wishing they never had to leave. Beautifully devised and impeccably designed, every inch is a testament to refinement in the art of hospitality. Pristine bathrooms of marble with furnishings that will have you melting into an abyss of plush euphoria are just inklings of the grandeur this suites has to offer.
- Complimentary Wi-Fi
- Personalized check - in and check – out
- Concierge service
- Open Daily 07:00 hrs. – 21:00 hrs.
- Breakfast at The living from 07:00 hrs. –11:00 hrs.
- Afternoon tea from 14:00 hrs. – 16:00 hrs.
- Happy hours from 17.30 hrs. – 19:30 hrs.
- All day refreshments: coffee, tea, soft drinks, cookies and snacks
- Two hours per stay complimentary usage of The Living Board Room (Upon availability)
- Complimentary late check out until 16:00 hrs. (Upon availability)
- Complimentary pressing service 2 items per day (Non - accumulative)
- Complimentary local call (Mobile phone excluded)
Service:
-Wifi
-Tourist Information / Ticket sale
-Laundry / Dry Cleaner
-Air conditioning
-Gym
-Spa
-Sauna
-Baby cots
-Free Parking
-Bath"
"PREMIER LUX KING BED","7472","4","Boasting bathtubs of marble and balconies with remarkable views the Premier Lux King Bed. Room are beaming with glitz and glamour. Overlooking tantalizing sea views hundreds of feet into the sky, each room is embellished with playful floorplans and artistic decor. Escape into a world of plush sophistication and modern design, readily equipped to provide irreplaceable and everlasting memories.
- Complimentary Wi-Fi
- Personalized check - in and check – out
- Concierge service
- Open Daily 07:00 hrs. – 21:00 hrs.
- Breakfast at The living from 07:00 hrs. –11:00 hrs.
- Afternoon tea from 14:00 hrs. – 16:00 hrs.
- Happy hours from 17.30 hrs. – 19:30 hrs.
- All day refreshments: coffee, tea, soft drinks, cookies and snacks
- Two hours per stay complimentary usage of The Living Board Room (Upon availability)
- Complimentary late check out until 16:00 hrs. (Upon availability)
- Complimentary pressing service 2 items per day (Non - accumulative)
- Complimentary local call (Mobile phone excluded)
Service:
-Wifi
-Tourist Information / Ticket sale
-Laundry / Dry Cleaner
-Air conditioning
-Gym
-Spa
-Safety box
-Sauna
-Babysitter
-Bath"
"PREMIER LUX TWIN BED","7472","4","Boasting bathtubs of marble and balconies with remarkable views the Premier Lux Twin BedRoom are beaming with glitz and glamour. Overlooking tantalizing sea views hundreds of feet into the sky, each room is embellished with playful floorplans and artistic decor. Escape into a world of plush sophistication and modern design, readily equipped to provide irreplaceable and everlasting memories.
- Complimentary Wi-Fi
- Personalized check - in and check – out
- Concierge service
- Open Daily 07:00 hrs. – 21:00 hrs.
- Breakfast at The living from 07:00 hrs. –11:00 hrs.
- Afternoon tea from 14:00 hrs. – 16:00 hrs.
- Happy hours from 17.30 hrs. – 19:30 hrs.
- All day refreshments: coffee, tea, soft drinks, cookies and snacks
- Two hours per stay complimentary usage of The Living Board Room (Upon availability)
- Complimentary late check out until 16:00 hrs. (Upon availability)
- Complimentary pressing service 2 items per day (Non - accumulative)
- Complimentary local call (Mobile phone excluded)
Service:
-Wifi
-Tourist Information / Ticket sale
-Laundry / Dry Cleaner
-Air conditioning
-Gym
-Spa
-Sauna
-Baby cots
-Free Parking
-Bath"
